source,record_id,issue_type,field,value,detail
Google Places,ChIJ2ainmiLEhkcRSmY8z5e-EwU,low_review_count,review_count,17,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2bm_UQDHhkcR90y5Tcdn0k0,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2bm_UQDHhkcR90y5Tcdn0k0,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2cfkTADHhkcRpKgh_u67t4Y,low_review_count,review_count,6,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2dXGfQ3BhkcRoH0jsEAzWQI,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2dXGfQ3BhkcRoH0jsEAzWQI,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2eHIfgDBhkcRXCUKHs-mPu8,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2eHIfgDBhkcRXCUKHs-mPu8,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2fCs3enGhkcRYrqEjW6bXfw,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2fCs3enGhkcRYrqEjW6bXfw,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2fN0gU6_hkcR7hT88OE0zKg,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2wJtvx3HhkcR3JzthPMSWTk,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2wJtvx3HhkcR3JzthPMSWTk,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2x11-t_DhkcRbpu2eUFME8w,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2xm_Qd_HhkcRzkdk7CDgdYs,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2xm_Qd_HhkcRzkdk7CDgdYs,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2xoV2fPHhkcRD1M0uL1YInA,low_review_count,review_count,16,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2yPl1uvBhkcRQTC_OFjnCG8,low_review_count,review_count,11,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2yS_AgDHhkcRTfF-K97MbTY,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2yS_AgDHhkcRTfF-K97MbTY,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2ywI2i7BhkcRBVVCe6DfTtU,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ30cBKgDBhkcRH3U3sAaI1GY,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ30cBKgDBhkcRH3U3sAaI1GY,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
